GAIteration,GenerationNumber,TotalFitness,AverageFitness,HighestFitness,PopulationSize,StoppingConditionReached
iteration1,1,89,0.89,3,100,False
iteration1,2,179,1.79,4,100,False
iteration1,3,223,2.23,4,100,False
iteration1,4,271,2.71,4,100,False
iteration1,5,298,2.98,4,100,False
iteration1,6,320,3.2,4,100,False
iteration1,7,339,3.39,4,100,False
iteration1,8,358,3.58,5,100,False
iteration1,9,368,3.68,5,100,False
iteration1,10,387,3.87,5,100,False
iteration1,11,387,3.87,5,100,False
iteration1,12,405,4.05,5,100,False
iteration1,13,413,4.13,6,100,False
iteration1,14,428,4.28,6,100,False
iteration1,15,445,4.45,6,100,False
iteration1,16,457,4.57,7,100,False
iteration1,17,473,4.73,7,100,False
iteration1,18,480,4.8,7,100,False
iteration1,19,485,4.85,7,100,False
iteration1,20,492,4.92,7,100,False
iteration1,21,514,5.14,7,100,False
iteration1,22,524,5.24,7,100,False
iteration1,23,531,5.31,7,100,False
iteration1,24,551,5.51,7,100,False
iteration1,25,566,5.66,7,100,False
iteration1,26,576,5.76,7,100,False
iteration1,27,595,5.95,7,100,False
iteration1,28,600,6.0,7,100,False
iteration1,29,608,6.08,7,100,False
iteration1,30,615,6.15,7,100,False
iteration1,31,635,6.35,7,100,False
iteration1,32,648,6.48,8,100,False
iteration1,33,651,6.51,8,100,False
iteration1,34,666,6.66,8,100,False
iteration1,35,669,6.69,8,100,False
iteration1,36,675,6.75,8,100,False
iteration1,37,676,6.76,8,100,False
iteration1,38,685,6.85,8,100,False
iteration1,39,682,6.82,8,100,False
iteration1,40,684,6.84,8,100,False
iteration1,41,696,6.96,8,100,False
iteration1,42,701,7.01,8,100,False
iteration1,43,707,7.07,8,100,False
iteration1,44,719,7.19,8,100,False
iteration1,45,718,7.18,8,100,False
iteration1,46,728,7.28,9,100,False
iteration1,47,733,7.33,9,100,False
iteration1,48,740,7.4,9,100,False
iteration1,49,744,7.44,9,100,False
iteration1,50,763,7.63,9,100,False
iteration1,51,771,7.71,9,100,False
iteration1,52,776,7.76,9,100,False
iteration1,53,788,7.88,9,100,False
iteration1,54,807,8.07,10,100,True
iteration2,1,118,1.18,4,100,False
iteration2,2,212,2.12,6,100,False
iteration2,3,289,2.89,6,100,False
iteration2,4,374,3.74,6,100,False
iteration2,5,412,4.12,6,100,False
iteration2,6,473,4.73,6,100,False
iteration2,7,500,5.0,6,100,False
iteration2,8,523,5.23,7,100,False
iteration2,9,548,5.48,7,100,False
iteration2,10,558,5.58,7,100,False
iteration2,11,565,5.65,7,100,False
iteration2,12,592,5.92,7,100,False
iteration2,13,607,6.07,7,100,False
