GAIteration,GenerationNumber,TotalFitness,AverageFitness,HighestFitness,PopulationSize,StoppingConditionReached
iteration1,1,86,0.86,3,100,False
iteration1,2,240,2.4,4,100,False
iteration1,3,391,3.91,5,100,False
iteration1,4,434,4.34,5,100,False
iteration1,5,500,5.0,5,100,False
iteration1,6,500,5.0,5,100,False
iteration1,7,501,5.01,6,100,False
iteration1,8,532,5.32,7,100,False
iteration1,9,641,6.41,7,100,False
iteration1,10,699,6.99,7,100,False
iteration1,11,700,7.0,7,100,False
iteration1,12,700,7.0,7,100,False
iteration1,13,699,6.99,7,100,False
iteration1,14,698,6.98,7,100,False
iteration1,15,701,7.01,8,100,False
iteration1,16,736,7.36,9,100,False
iteration1,17,865,8.65,9,100,False
iteration1,18,898,8.98,9,100,False
iteration1,19,899,8.99,9,100,False
iteration1,20,899,8.99,9,100,False
iteration1,21,900,9.0,9,100,False
iteration1,22,900,9.0,9,100,False
iteration1,23,899,8.99,9,100,False
iteration1,24,899,8.99,9,100,False
iteration1,25,898,8.98,9,100,False
iteration1,26,899,8.99,9,100,False
iteration1,27,900,9.0,9,100,False
iteration1,28,898,8.98,9,100,False
iteration1,29,898,8.98,9,100,False
iteration1,30,899,8.99,9,100,False
iteration1,31,900,9.0,9,100,False
iteration1,32,900,9.0,9,100,False
iteration1,33,899,8.99,9,100,False
iteration1,34,899,8.99,9,100,False
iteration1,35,899,8.99,9,100,False
iteration1,36,900,9.0,9,100,False
iteration1,37,898,8.98,9,100,False
iteration1,38,899,8.99,9,100,False
iteration1,39,898,8.98,9,100,False
iteration1,40,899,8.99,9,100,False
iteration1,41,900,9.0,9,100,False
iteration1,42,899,8.99,9,100,False
iteration1,43,897,8.97,9,100,False
iteration1,44,899,8.99,9,100,False
iteration1,45,899,8.99,9,100,False
iteration1,46,900,9.0,10,100,True
iteration2,1,91,0.91,4,100,False
iteration2,2,278,2.78,4,100,False
iteration2,3,399,3.99,5,100,False
iteration2,4,426,4.26,6,100,False
iteration2,5,516,5.16,6,100,False
iteration2,6,594,5.94,6,100,False
iteration2,7,600,6.0,7,100,False
iteration2,8,625,6.25,7,100,False
iteration2,9,700,7.0,7,100,False
iteration2,10,700,7.0,7,100,False
iteration2,11,700,7.0,7,100,False
iteration2,12,700,7.0,7,100,False
iteration2,13,701,7.01,8,100,False
iteration2,14,717,7.17,8,100,False
iteration2,15,800,8.0,8,100,False
iteration2,16,800,8.0,8,100,False
iteration2,17,800,8.0,8,100,False
iteration2,18,800,8.0,9,100,False
iteration2,19,827,8.27,9,100,False
iteration2,20,899,8.99,10,100,True
iteration3,1,94,0.94,3,100,False
iteration3,2,269,2.69,6,100,False
iteration3,3,532,5.32,7,100,False
iteration3,4,619,6.19,7,100,False
iteration3,5,700,7.0,7,100,False
iteration3,6,700,7.0,7,100,False
iteration3,7,700,7.0,7,100,False
iteration3,8,700,7.0,7,100,False
iteration3,9,701,7.01,8,100,False
iteration3,10,715,7.15,8,100,False
iteration3,11,798,7.98,9,100,False
iteration3,12,824,8.24,9,100,False
iteration3,13,899,8.99,9,100,False
iteration3,14,900,9.0,9,100,False
iteration3,15,900,9.0,9,100,False
iteration3,16,900,9.0,9,100,False
