GAIteration,GenerationNumber,TotalFitness,AverageFitness,HighestFitness,PopulationSize,StoppingConditionReached
iteration1,1,84,0.84,3,100,False
iteration1,2,278,2.78,4,100,False
iteration1,3,398,3.98,4,100,False
iteration1,4,401,4.01,5,100,False
iteration1,5,421,4.21,5,100,False
iteration1,6,497,4.97,6,100,False
iteration1,7,561,5.61,6,100,False
iteration1,8,598,5.98,6,100,False
iteration1,9,598,5.98,6,100,False
iteration1,10,600,6.0,6,100,False
iteration1,11,599,5.99,6,100,False
iteration1,12,598,5.98,6,100,False
iteration1,13,599,5.99,6,100,False
iteration1,14,600,6.0,6,100,False
iteration1,15,600,6.0,6,100,False
iteration1,16,599,5.99,7,100,False
iteration1,17,616,6.16,7,100,False
iteration1,18,700,7.0,8,100,False
iteration1,19,746,7.46,8,100,False
iteration1,20,800,8.0,8,100,False
iteration1,21,801,8.01,9,100,False
iteration1,22,815,8.15,9,100,False
iteration1,23,894,8.94,9,100,False
iteration1,24,900,9.0,9,100,False
iteration1,25,900,9.0,9,100,False
iteration1,26,900,9.0,9,100,False
iteration1,27,900,9.0,9,100,False
iteration1,28,896,8.96,9,100,False
iteration1,29,899,8.99,9,100,False
iteration1,30,898,8.98,9,100,False
iteration1,31,898,8.98,9,100,False
iteration1,32,898,8.98,9,100,False
iteration1,33,900,9.0,9,100,False
iteration1,34,900,9.0,9,100,False
iteration1,35,897,8.97,9,100,False
iteration1,36,897,8.97,9,100,False
iteration1,37,899,8.99,9,100,False
iteration1,38,900,9.0,9,100,False
iteration1,39,900,9.0,9,100,False
iteration1,40,898,8.98,9,100,False
iteration1,41,899,8.99,9,100,False
iteration1,42,899,8.99,9,100,False
iteration1,43,900,9.0,9,100,False
iteration1,44,900,9.0,9,100,False
iteration1,45,899,8.99,9,100,False
iteration1,46,900,9.0,9,100,False
iteration1,47,900,9.0,9,100,False
iteration1,48,898,8.98,9,100,False
iteration1,49,900,9.0,9,100,False
iteration1,50,900,9.0,9,100,False
iteration1,51,900,9.0,9,100,False
iteration1,52,898,8.98,9,100,False
iteration1,53,900,9.0,9,100,False
iteration1,54,899,8.99,9,100,False
iteration1,55,899,8.99,9,100,False
iteration1,56,899,8.99,9,100,False
iteration1,57,900,9.0,9,100,False
iteration1,58,896,8.96,9,100,False
iteration1,59,899,8.99,9,100,False
iteration1,60,900,9.0,9,100,False
iteration1,61,899,8.99,9,100,False
iteration1,62,897,8.97,9,100,False
iteration1,63,897,8.97,9,100,False
iteration1,64,898,8.98,9,100,False
iteration1,65,900,9.0,9,100,False
iteration1,66,899,8.99,9,100,False
iteration1,67,900,9.0,9,100,False
iteration1,68,898,8.98,9,100,False
iteration1,69,900,9.0,9,100,False
iteration1,70,899,8.99,9,100,False
iteration1,71,901,9.01,10,100,True
iteration2,1,100,1.0,4,100,False
iteration2,2,324,3.24,5,100,False
iteration2,3,495,4.95,5,100,False
iteration2,4,498,4.98,5,100,False
iteration2,5,499,4.99,5,100,False
iteration2,6,499,4.99,5,100,False
iteration2,7,501,5.01,6,100,False
iteration2,8,514,5.14,6,100,False
iteration2,9,596,5.96,6,100,False
iteration2,10,600,6.0,7,100,False
iteration2,11,621,6.21,7,100,False
iteration2,12,699,6.99,7,100,False
iteration2,13,700,7.0,7,100,False
iteration2,14,700,7.0,7,100,False
iteration2,15,700,7.0,7,100,False
iteration2,16,698,6.98,7,100,False
iteration2,17,700,7.0,7,100,False
iteration2,18,700,7.0,7,100,False
iteration2,19,699,6.99,7,100,False
iteration2,20,700,7.0,7,100,False
iteration2,21,699,6.99,7,100,False
iteration2,22,698,6.98,7,100,False
iteration2,23,700,7.0,7,100,False
iteration2,24,701,7.01,8,100,False
iteration2,25,714,7.14,8,100,False
iteration2,26,798,7.98,9,100,False
iteration2,27,822,8.22,9,100,False
iteration2,28,899,8.99,9,100,False
iteration2,29,900,9.0,9,100,False
iteration2,30,900,9.0,9,100,False
iteration2,31,898,8.98,9,100,False
iteration2,32,900,9.0,9,100,False
iteration2,33,900,9.0,9,100,False
iteration2,34,899,8.99,9,100,False
iteration2,35,900,9.0,9,100,False
iteration2,36,898,8.98,9,100,False
iteration2,37,898,8.98,9,100,False
iteration2,38,900,9.0,9,100,False
iteration2,39,898,8.98,9,100,False
iteration2,40,900,9.0,9,100,False
iteration2,41,897,8.97,9,100,False
iteration2,42,900,9.0,9,100,False
iteration2,43,899,8.99,9,100,False
iteration2,44,899,8.99,9,100,False
iteration2,45,897,8.97,9,100,False
iteration2,46,900,9.0,9,100,False
iteration2,47,898,8.98,9,100,False
iteration2,48,900,9.0,9,100,False
iteration2,49,900,9.0,9,100,False
iteration2,50,898,8.98,9,100,False
iteration2,51,898,8.98,9,100,False
iteration2,52,898,8.98,9,100,False
iteration2,53,900,9.0,9,100,False
iteration2,54,899,8.99,9,100,False
iteration2,55,900,9.0,10,100,True
iteration3,1,97,0.97,4,100,False
iteration3,2,321,3.21,6,100,False
iteration3,3,560,5.6,7,100,False
iteration3,4,656,6.56,7,100,False
iteration3,5,699,6.99,8,100,False
iteration3,6,720,7.2,8,100,False
iteration3,7,800,8.0,8,100,False
iteration3,8,799,7.99,8,100,False
iteration3,9,800,8.0,8,100,False
iteration3,10,800,8.0,8,100,False
iteration3,11,799,7.99,8,100,False
iteration3,12,799,7.99,8,100,False
iteration3,13,796,7.96,9,100,False
iteration3,14,821,8.21,9,100,False
iteration3,15,899,8.99,9,100,False
iteration3,16,898,8.98,9,100,False
iteration3,17,899,8.99,9,100,False
iteration3,18,900,9.0,9,100,False
iteration3,19,899,8.99,9,100,False
iteration3,20,899,8.99,9,100,False
iteration3,21,899,8.99,9,100,False
iteration3,22,898,8.98,9,100,False
iteration3,23,900,9.0,9,100,False
iteration3,24,899,8.99,9,100,False
iteration3,25,899,8.99,9,100,False
iteration3,26,900,9.0,9,100,False
iteration3,27,897,8.97,9,100,False
iteration3,28,900,9.0,9,100,False
iteration3,29,900,9.0,9,100,False
iteration3,30,898,8.98,9,100,False
iteration3,31,899,8.99,9,100,False
iteration3,32,899,8.99,9,100,False
